Address,SQFT,Price,Parish,Region,BR,BTH
STANMORE TERRACE,5200,33000000,St. Andrew,19,6,7
OLD STONY HILL ROAD,4200,30000000,St. Andrew,9,4,4
PARK AVENUE,3500,30000000,St. Andrew,19,6,4
SUNSET AVENUE,1500,37100000,St. Andrew,8,3,2
DUBLIN CASTLE CLOSE,2500,30000000,St. Andrew,21,4,4
4 CRAWFORD AVENUE,3568,33000000,St. Andrew,8,4,3
STILLWELL ROAD,7000,32000000,St. Andrew,8,4,5
14 GLENDON DR - TRAFALGAR...,3000,33000000,St. Andrew,10,3,3
3 DIAMOND CLOSE,4000,35000000,St. Andrew,9,5,6
6 POWELL CLOSE,2972,26500000,St. Andrew,21,4,3
52 GREAT HOUSE BOULEVARD,3000,31000000,St. Andrew,6,3,3
STILLWELL ROAD,,32500000,St. Andrew,8,5,4
63 BRENTWOOD TERRACE,4470,33500000,St. Andrew,19,5,4
16 BLUE CASTLE DRIVE,1340,33000000,St. Andrew,6,3,2
HALIFAX CRESCENT,2607,32000000,St. Andrew,6,4,3
6 DIRECTORS WAY,3500,34000000,St. Andrew,19,4,4
"BURBANK AVE, HAVENDALE",3000,31500000,St. Andrew,19,8,6
TOPAZ CRESCENT,3926,35300000,St. Andrew,19,4,3
52 CHEVY CHASE,4250,35000000,St. Andrew,19,5,6
21 ROAD,6700,25000000,St. Andrew,21,10,8
26 KIRKLAND CRESENT,5000,30000000,St. Andrew,19,4,4
COOPER'S HILL - FRASER C...,3000,35000000,St. Andrew,21,4,3
2 BELGRADE WAY,3400,35000000,St. Andrew,19,4,3
7 BANANA CRESCENT,3500,33000000,St. Andrew,8,4,4
14 GARTH ROAD,2000,37750000,St. Andrew,8,3,5
11 SWALLOWFIELD AVENUE,3153,35000000,St. Andrew,19,5,3
25 CHRISTOPHER DRIVE,2550,30000000,St. Andrew,8,5,5
EAST KIRKLAND HEIGHTS,4340,35000000,St. Andrew,21,5,5
COOLSHADE DRIVE,12780,35500000,St. Andrew,19,5,3
8 HIGHLAND DRIVE,28885,33000000,St. Andrew,19,4,3
SUNSET DRIVE,1800,40000000,St. Andrew,10,4,4
ABERDINE,2860,34000000,St. Andrew,8,5,4
15a CHARLTON ROAD,2000,40000000,St. Andrew,8,3,2
GLENALMOND DRIVE,2000,33000000,St. Andrew,8,5,3
ARIES AVE,6650,34100000,St. Andrew,19,4,4
"LOT 47, BRIDGEMOUNT KGN ...",4500,35000000,St. Andrew,8,5,6
6 COLUMBA CLOSE,,35600000,St. Andrew,19,4,3
15 GROSVENOR TERRACE,2300,28000000,St. Andrew,8,5,3
10 CHARLEMONT DRIVE,3302,34000000,St. Andrew,6,3,4
"HOPE PASTURES, ...",2200,30000000,St. Andrew,6,3,2
16 CAPRICORN TERRACE,17889,32500000,St. Andrew,19,4,4
DAISY AVENUE MONA HEIGHT...,3200,34791960,St. Andrew,6,6,5
TEWFIX DRIVE,10207,30500000,St. Andrew,20,8,6
CARNATION WAY,3500,36000000,St. Andrew,6,6,4
6 ICA WAY,3400,36500000,St. Andrew,21,3,3
5 GOODWILL AVENUE,2000,33751197,St. Andrew,6,5,4
GARDENIA AVENUE,3535,30000000,St. Andrew,6,5,3
SANDHURST CRESCENT,14559,35600000,St. Andrew,6,3,2
QUEEN HILL,3300,37000000,St. Andrew,19,4,4
4 DOUGHTON ROAD,2800,35000000,St. Andrew,8,3,3
10 BRIDGEMOUNT DRIVE,,34500000,St. Andrew,8,4,4
WATERWORKS WAY,2200,34000000,St. Andrew,8,3,2
ST MICHAELS TERRACE,3680,35000000,St. Andrew,6,5,2
STONY HILL,3650,35000000,St. Andrew,9,4,4
9A & 9B FOREST VIEW ROAD,7500,30000000,St. Andrew,19,8,7
5 THOMPSON CLOSE,,34500000,St. Andrew,19,9,6
NORBROOK DRIVE,2000,37500000,St. Andrew,8,3,2
9 WARRENTON RD,3500,31000000,St. Andrew,5,3,2
20 COURTNEY DRIVE,2013,37000000,St. Andrew,10,4,3
FOREST DRIVE,4200,37000000,St. Andrew,19,4,4
LYNDALE AVENUE,16000,27000000,St. Andrew,20,10,10
BELVEDERE CRESENT,4400,37500000,St. Andrew,19,4,4
151 21 ROAD,24555,3858126963,St. Andrew,19,5,4
18 DURHAM AVENUE,3800,38000000,St. Andrew,6,3,2
9A SHENSTONE DRIVE,3330,38000000,St. Andrew,6,4,3
20 HOPEVIEW AVENUE,2856,36000000,St. Andrew,6,3,3
PHADRIAN AVENUE,2839,35500000,St. Andrew,6,5,5
HIBISCUS DRIVE,5000,36000000,St. Andrew,8,7,7
NORBROOK TERRACE,15228,30000000,St. Andrew,8,4,4
77 21 ROAD,2744,28000000,St. Andrew,20,5,3
37 THOMPSON BLVD.,4000,35000000,St. Andrew,19,4,3
10 CHANCERY CLOSE,2960,34500000,St. Andrew,19,4,3
CIRCLE CLOSE,3110,32000000,St. Andrew,10,3,2
"55 HOPE BOULEVARD, KGN 6",2500,39500000,St. Andrew,6,3,4
EAST KIRKLAND HEIGHTS,4700,31000000,St. Andrew,19,6,6
ROSEBERRY DRIVE,2800,37000000,St. Andrew,8,4,4
BORDER AVENUE,7000,37000000,St. Andrew,19,5,3
17A WEST MEAD,16010,37000000,St. Andrew,19,4,4
5 MT. CALM CLOSE,2600,37000000,St. Andrew,19,5,5
"2 MAYFAIR CLOSE, FOREST H...",2800,32500000,St. Andrew,19,4,3
ROSELLE AVENUE,2700,34500000,St. Andrew,6,3,2
10 MCDONALD DRIVE,4000,35250000,St. Andrew,8,4,4
11 DEWSBURY AVENUE,3300,37000000,St. Andrew,6,3,3
EDAM DRIVE,2500,38000000,St. Andrew,8,2,2
ROSEBERRY DRIVE KINGSTON,7000,38500000,St. Andrew,8,7,4
CONSTANT SPRING ESTATE,3774,38500000,St. Andrew,8,4,4
15 DEWSBURY AVE,5000,35000000,St. Andrew,6,3,4
12 MARGARET DRIVE,2000,25000000,St. Andrew,6,4,4
38 VANTAGE VIEW ESTATE,4033,39000000,St. Andrew,21,4,4
17 RICHINGS AVENUE,10634,38000000,St. Andrew,6,4,3
7 WESTMEADE DRIVE,11991,39500000,St. Andrew,19,7,7
4 SAVOY TERRACE,2075,38000000,St. Andrew,8,3,2
"26 AIRES AVE, SMOKEYVALE",2500,38000000,St. Andrew,19,5,6
9 KIRKLAND TRAIL,5400,37000000,St. Andrew,19,6,5
"BUTTERCUP DRIVE, MONA HE...",6541,39000000,St. Andrew,6,4,3
OLD STONY HILL ROAD,4700,27082538,St. Andrew,9,6,4
LYNCOURT CRESCENT,5200,31914578,St. Andrew,8,12,8
BELCOUR LODGE,3000,32000000,St. Andrew,21,4,4
8 TREMAINE ROAD,3000,40000000,St. Andrew,6,4,3
GLENALMOND DRIVE,2500,37000000,St. Andrew,8,4,3
33- RIDGEFIELD,3500,35000000,St. Andrew,9,4,3
10 ELMWOOD CLOSE,9924,39000000,St. Andrew,8,5,4
PLANTATION DRIVE,3089,34000000,St. Andrew,21,4,4
RIVER'S EDGE 21,2000,35800000,St. Andrew,21,3,3
25 KIRKLAND CRESCENT,4113,38000000,St. Andrew,21,5,3
STILLWELL ROAD,4000,30000000,St. Andrew,9,4,3
BRIDGEMOUNT HEIGHTS,3200,39900000,St. Andrew,8,4,4
STILWELL ROAD,4000,37000000,St. Andrew,8,3,3
NORBROOK ROAD,,37500000,St. Andrew,8,3,3
2 MOUNTAIN SPRING,3000,32500000,St. Andrew,6,3,3
WEST ARMOUR HEIGHTS,3200,26500000,St. Andrew,8,4,4
JOHN WESLEY AVENUE,3000,36000000,St. Andrew,6,3,2
30A STILWELL ROAD,4000,39000000,St. Andrew,8,4,5
MOUNTAIN SPRING DRIVE,4000,27000000,St. Andrew,6,4,4
103 BELVEDERE,5000,38500000,St. Andrew,21,5,7
JOHN WESLEY,2668,36500000,St. Andrew,6,4,3
DUBLIN CASTLE,5000,38000000,St. Andrew,21,4,4
13 WICKHAM AVENUE,14450,37000000,St. Andrew,8,4,2
"KINGSWOOD DRV, STONY HIL...",2700,36000000,St. Andrew,9,5,4
17 CARVAHLO DRIVE,2000,40000000,St. Andrew,10,3,3
"STILDON WAY, SMOKEY VALE",,35000000,St. Andrew,19,4,4
CASTLE DRIVE,21783,32000000,St. Andrew,9,4,4
"4 ALL SIDES CL, STONY HIL...",5000,35000000,St. Andrew,9,5,4
20 E KINGS HOUSE CIRCLE,3580,43000000,St. Andrew,6,5,5
10-8 EAST AVENUE,4000,32200000,St. Andrew,10,7,7
20 BRENTWOOD TERRACE,4442,35000000,St. Andrew,19,6,6
LAKEHURST DRIVE,3200,38000000,St. Andrew,8,4,3
"HYDRA DRIVE, KGN. 8",17000,41000000,St. Andrew,19,5,5
57 GROSVENOR TERRACE,2767,40000000,St. Andrew,8,4,4
STILLWELL AVENUE,5000,39500000,St. Andrew,8,5,3
SANDHURST CRESCENT,4200,41000000,St. Andrew,6,4,5
1 UPPER MELWOOD,4500,30000000,St. Andrew,8,11,8
48 B STILLWELL ROAD,6000,37000000,St. Andrew,9,4,4
WEST KIRKLAND HEIGHTS,,38000000,St. Andrew,19,6,5
WINDSOR AVENUE,14001,37000000,St. Andrew,5,4,3
32 NORBROOK ACRES DRIVE,3009,39000000,St. Andrew,8,5,4
26 RUSSELL HEIGHTS,2500,40000000,St. Andrew,8,4,3
10 HOPEVIEW AVENUE,2000,42500000,St. Andrew,6,4,2
"7 LEIGHTON RD,COLLINS GRE...",8115,37500000,St. Andrew,5,6,4
25 ORANGE CRESCENT,12785,47000000,St. Andrew,8,3,2
WHALLEY CLOSE KGN 6,6453,37000000,St. Andrew,6,3,2
5- MARLEY ROAD,1800,37824774,St. Andrew,6,2,3
10 GROSVENOR HEIGHTS,1959,43120243,St. Andrew,8,3,2
28 RUSSELL HEIGHTS,3000,40500000,St. Andrew,8,4,3
4 WIDCOME CRESCENT,15081,40000000,St. Andrew,6,4,2
4 NORBURY CLOSE,2307,39000000,St. Andrew,8,3,2
4 OLD STONY HILL ROAD,5690,40000000,St. Andrew,9,6,4
NORBROOK ROAD,2800,44000000,St. Andrew,8,3,2
ELLESMERE DRIVE,5300,42900000,St. Andrew,19,4,4
3 OAKRIDGE,2597,42500000,St. Andrew,8,3,3
"CHARLTON DRIVE,",5500,39000000,St. Andrew,8,5,5
DEWSBURY AVENUE,,40000000,St. Andrew,6,3,2
2 SHARROW CLOSE WATERWOR...,3900,44000000,St. Andrew,8,4,3
62 SHENSTONE DRIVE,2500,45000000,St. Andrew,6,5,5
BEVERLY DRIVE,2800,43000000,St. Andrew,6,4,4
63 FORSYTHE DRIVE,4698,39000000,St. Andrew,6,4,4
GROSVENOR HEIGHTS,4789,35000000,St. Andrew,8,4,3
6A RUSSELL HEIGHTS,4150,45000000,St. Andrew,8,4,4
LINNEMANN AVENUE,3100,37000000,St. Andrew,6,3,4
50 BELGRADE LOOP,3500,38000000,St. Andrew,8,3,3
LILFORD AVENUE,6000,44000000,St. Andrew,6,9,6
18 CAPPRICORN TERRACE,3500,40500000,St. Andrew,19,5,5
21 BRENTWOOD TERRACE,4990,36000000,St. Andrew,19,6,5
HALL CRESCENT,1968,45000000,St. Andrew,8,4,3
LEAS FLAT CLOSE,5500,45300000,St. Andrew,19,5,6
DUBLIN CASTLE CLOSE,2000,40000000,St. Andrew,21,4,3
14 PAVO PLACE,4750,40000000,St. Andrew,19,4,6
27 BELGRADE LOOP,4860,45000000,St. Andrew,19,3,4
"Lot 29-2 SHORTWOOD CLOSE,...",11912,50000000,St. Andrew,8,5,4
8 MONTEREY DRIVE,15706,41724660,St. Andrew,6,4,2
WEST KIRKLAND HEIGHTS,3000,45389729,St. Andrew,19,4,3
4 SUNSET CLOSE,8052,38000000,St. Andrew,8,3,3
UPPER MONTROSE ROAD,3000,45000000,St. Andrew,10,4,3
BOUGAINVILLEA AVENUE,4500,46000000,St. Andrew,6,11,8
19 LIGUANEA MEWS,2700,40000000,St. Andrew,6,3,3
134 MANNINGS HILL ROAD,3200,45000000,St. Andrew,8,3,3
8 SIDNEY ROAD,3000,43000000,St. Andrew,5,3,2
1 MONTCLAIR DRIVE,3957,34000000,St. Andrew,6,5,5
SHORTWOOD ROAD,3000,42000000,St. Andrew,8,4,4
G VALLEY CLOSE,3278,45000000,St. Andrew,9,3,4
SUNSET AVENUE,5415,39000000,St. Andrew,8,5,4
13 SUNSET AVENUE,3600,44000000,St. Andrew,8,4,3
NORBROOK,2400,50000000,St. Andrew,8,3,2
9 CHERRY DRIVE,2500,46000000,St. Andrew,8,3,2
5 PHADRIAN AVENUE,2800,47000000,St. Andrew,6,4,3
"12 WISHAW DRIVE, ALLERDYC...",1950,47000000,St. Andrew,8,4,3
27 BOUGANVILLEA AVE MONA,2200,45000000,St. Andrew,6,5,5
1-43 CHARLEMONT DRIVE,1728,55000000,St. Andrew,6,3,2
1B PALOMINO TERRACE,4896,40000000,St. Andrew,8,6,6
5 GAINSBOROUGH AVENUE,3003,48000000,St. Andrew,6,4,3
NORBROOK TERRACE,3750,40004000,St. Andrew,8,4,3
"SHARROW DRIVE, WATERWORK...",2322,45000000,St. Andrew,8,3,2
75 NORBROOK DRIVE,1600,46000000,St. Andrew,8,4,2
85 SHORTWOOD ROAD NORBOO...,17000,42200000,St. Andrew,8,3,3
SHORTWOOD DRIVE,3500,45000000,St. Andrew,8,6,3
36A EAST OAKRIDGE,3200,48500000,St. Andrew,8,4,4
31 GLENDON CIRCLE,1830,45000000,St. Andrew,6,4,2
14a LAKEHURST DRIVE,2800,43000000,St. Andrew,8,5,4
ACADIA DRIVE,4571,49212000,St. Andrew,8,3,3
"2 SUNSET DRIVE, ...",2800,49000000,St. Andrew,10,3,2
Lot 3-55B BRENTWOOD TERRA...,3500,48000000,St. Andrew,21,4,4
HOPE BOULEVARD,11552,46267264,St. Andrew,6,4,4
26- MILSBOROUGH AVENUE,5000,49000000,St. Andrew,6,4,5
FOREST AVENUE,5000,45000000,St. Andrew,21,5,5
3 BRIDGEMOUNT DRIVE,3000,46000000,St. Andrew,8,4,5
LINSTONE CRESCENT,3500,51000000,St. Andrew,10,4,5
7 EBONY GLADES,2000,50000000,St. Andrew,8,3,2
49 UPPER WATERLOO ROAD,2383,49000000,St. Andrew,8,4,1
12 GARNET AVENUE,9300,47000000,St. Andrew,21,10,9
6 TOUCAN CLOSE,3046,47000000,St. Andrew,8,4,4
86A ARIES AVENUE,7000,42000000,St. Andrew,19,6,5
CHANCERY HALL DRIVE,6000,47000000,St. Andrew,19,4,4
5 CHERRY DRIVE,2000,47500000,St. Andrew,8,3,2
8 STERLING GLADES,4900,44450000,St. Andrew,21,10,7
5 KIRKLAND WAY,3600,21276435,St. Andrew,21,4,5
1 WEST KIRKLAND VIEW,5500,47000000,St. Andrew,21,8,7
SPRING PARK DRIVE,3850,46000000,St. Andrew,8,5,5
3 ROSELLE AVENUE,5800,50000000,St. Andrew,6,4,4
5 CHESTER AVENUE,3915,37000000,St. Andrew,6,5,4
WILTSHIRE AVENUE,3800,40000000,St. Andrew,6,3,4
32A BIRDSUCKER DRIVE,4050,45000000,St. Andrew,8,3,3
8 GARDEN VIEW,9000,45000000,St. Andrew,8,6,7
47 GRAHAM HEIGHTS,3500,345824,St. Andrew,8,4,3
6 MOZART AVENUE,2500,48000000,St. Andrew,8,3,2
BROADWAY CLOSE,3129,46500000,St. Andrew,8,5,4
ROSA PLACE,3760,50000000,St. Andrew,6,4,4
38 BANANA WALK,10800,43876738,St. Andrew,8,4,3
WILLOW RUN STONY HILL,3700,51441693,St. Andrew,9,4,4
13 FORT GEORGE CRESCENT,3400,44784533,St. Andrew,9,4,4
WHALLEY CLOSE,2000,51441693,St. Andrew,6,3,3
10 GROSVENOR TERRACE,4500,365000,St. Andrew,8,9,9
HACIENDA WAY,3700,51250000,St. Andrew,8,4,3
"6 MARVIC CLOSE, 21",3500,46000000,St. Andrew,19,5,5
7 WATERWORKS CRESCENT,4000,50662020,St. Andrew,8,4,4
6 WEST GREAT HOUSE CIRCLE,4000,45000000,St. Andrew,19,5,4
5 LIGUANEA MEWS,7603,52595782,St. Andrew,6,4,3
22 DURIE DRIVE,2000,52954684,St. Andrew,8,3,2
2 ACADIA DRIVE,3500,42363747,St. Andrew,8,4,4
8- PLANTATION DRIVE,5300,49900000,St. Andrew,21,5,5
18 HALART DRIVE,2975,52559642,St. Andrew,6,4,4
6 CADIZ AVENUE,7214,45000000,St. Andrew,19,5,6
14 FORT GEORGE CLOSE,4170,48500000,St. Andrew,9,5,4
GARTH ROAD,3127,55980666,St. Andrew,8,3,4
6- RIVER HOUSE PLACE,2000,44225936,St. Andrew,21,2,3
52 PADDINGTON TERRACE,28000,52500000,St. Andrew,6,4,4
GROSVENOR TERRACE,3510,48500000,St. Andrew,8,3,3
1 PAR DRIVE,3700,48412267,St. Andrew,8,3,4
1 CAROLE CLOSE,11900,46000000,St. Andrew,8,5,5
74B SUNSET AVENUE,5800,55000000,St. Andrew,8,6,7
25 UPPER CARMEL AVENUE,15000,53000000,St. Andrew,8,7,5
GROSVENOR HEIGHTS,3000,50000000,St. Andrew,8,4,3
15 GIBSON DRIVE,5100,52000000,St. Andrew,6,8,8
7 EDAM DRIVE,3500,53000000,St. Andrew,8,4,4
8 WHISPERING WOODS CLOSE,4000,55000000,St. Andrew,9,4,5
BARBICAN ROAD,2400,40000000,St. Andrew,6,3,2
4 STANMORE TERRACE,4691,52000000,St. Andrew,19,8,8
3 QUEENSWAY,2000,52000000,St. Andrew,10,3,3
MAYFAIR WAY,4666,55000000,St. Andrew,19,4,5
NORBROOK DRIVE,4288,44000000,St. Andrew,8,7,6
1 HERMITAGE DAM ROAD,5430,49000000,St. Andrew,9,6,5
TOUCAN WAY,7800,56000000,St. Andrew,8,4,5
1A WEYCLIFFE CLOSE,4600,56000000,St. Andrew,6,3,2
32 NORBROOK ACRES DRIVE,3200,56737161,St. Andrew,8,3,3
"RAVINIA ROAD, KGN. 6",2834,54467675,St. Andrew,6,3,4
2 LORD NELSON WAY,11332,50000000,St. Andrew,10,3,3
19 BEVERLEY DRIVE,4000,5000000,St. Andrew,6,4,4
SHARROW MEWS,3000,52500000,St. Andrew,8,5,5
17 NORTH WIDCOMBE HEIGHTS,2800,57000000,St. Andrew,6,4,4
PADDINGTON TERRACE,3000,58000000,St. Andrew,6,5,4
15 A GREAT HOUSE CLOSE,4500,50000000,St. Andrew,8,5,7
MEADOW CLOSE,3895,65000000,St. Andrew,8,4,3
24 VICTORY AVENUE,7900,50000000,St. Andrew,19,5,5
"2 URSA MINOR, SMOKEY VALE",8000,51992875,St. Andrew,8,5,7
10 HORATIO DRIVE,4600,57500000,St. Andrew,19,4,4
BENSON TERRACE,3000,53019289,St. Andrew,8,4,3
21,,60000000,St. Andrew,6,4,2
BLYTHWOOD DRIVE,6000,58000000,St. Andrew,6,5,5
3 PARKWAY CLOSE,4200,58000000,St. Andrew,8,6,5
ELMWOOD CLOSE,5360,58000000,St. Andrew,8,6,6
5 MARKWAY CRESCENT,3500,43000000,St. Andrew,8,7,4
22 EAST KINGS HOUSE ROAD,2745,67000000,St. Andrew,6,4,4
16 GRAHAM HEIGHTS,3000,60000000,St. Andrew,8,5,4
31 PALMETTO AVENUE,4200,50000000,St. Andrew,6,17,17
"14 1/2 WIDCOMBE ROAD, KIN...",10888,50000000,St. Andrew,6,5,4
27 HART BOULEVARD,2500,52000000,St. Andrew,6,6,5
GARTH ROAD,17008,56000000,St. Andrew,8,5,2
2E HIGHLAND DRIVE,6393,61200000,St. Andrew,19,10,10
GARTH ROAD,6500,55980666,St. Andrew,8,5,6
NORBROOK ROAD,3000,80674806,St. Andrew,8,3,4
GARELLI AVENUE,2388,55000000,St. Andrew,10,3,3
"16 CHESTER AVENUE, BARBIC...",2509,50000000,St. Andrew,6,5,3
38 CHERRY DRIVE,4911,43000000,St. Andrew,8,5,5
7 FARRINGDON DRIVE,2200,61276134,St. Andrew,6,3,3
GLENEAGLES CRESCENT,12171,60000000,St. Andrew,8,5,5
NEW HAVEN AVENUE,15651,63000000,St. Andrew,6,4,4
14 LOWER GREAT HOUSE,8390,47000000,St. Andrew,8,4,5
WIDCOMBE CRESCENT,3000,63545621,St. Andrew,6,3,3
27A RIDGEFIELD AVENUE,6350,58200000,St. Andrew,8,6,6
HACIENDA WAY,3800,58374823,St. Andrew,8,4,2
NORBROOK DRIVE,3000,60500000,St. Andrew,8,5,3
18 WILLOW RUN,2800,65000000,St. Andrew,9,4,2
2C EDAM DRIVE,3200,60500000,St. Andrew,8,5,5
BIRDSUCKER DRIVE,10300,57000000,St. Andrew,8,5,4
"7B DIAMOND ROAD, STONY HI...",5114,64400000,St. Andrew,9,3,4
6 WATERWORKS WAY,2830,68000000,St. Andrew,8,3,2
14 CASSIA PARK,12725,60000000,St. Andrew,10,4,2
18 CHANCERY HALL DRIVE,7200,58000000,St. Andrew,19,5,6
SHERBOURNE HEIGHTS,5300,61000000,St. Andrew,9,5,5
GAINSBOROUGH AVENUE,3387,80000000,St. Andrew,6,5,2
10 WIDCOMBE HEIGHTS,3000,68084593,St. Andrew,6,3,4
05 WIDCOMBE HEIGHTS,3000,68084593,St. Andrew,6,3,4
32 DURIE DRIVE,13600,56888460,St. Andrew,8,4,3
11 LOWER GREAT HOUSE CLOS,3000,67500000,St. Andrew,8,4,4
NORBROOK HEIGHTS,6850,55000000,St. Andrew,8,6,5
CHANCERY CLOSE,5000,70000000,St. Andrew,19,4,6
16 STERLING GLADES,11000,68000000,St. Andrew,21,7,10
CHERRY HILL DRIVE,5000,63000000,St. Andrew,8,5,6
CARMEL AVENUE,37707,70000000,St. Andrew,8,4,3
5 WASHINGTON DRIVE,2500,73000000,St. Andrew,10,5,4
"TEMPLE MEADS, JACKS HILL",4000,70371782,St. Andrew,6,3,2
13 MAYFAIR,7000,70202781,St. Andrew,19,5,5
32A BIRDSUCKER DRIVE,3500,70000000,St. Andrew,6,4,4
NORBROOK DRIVE,5500,75000000,St. Andrew,8,7,7
13 EARLS COURT,31107,72600000,St. Andrew,8,4,3
61 SUNSET BOULERVARD,8500,60000000,St. Andrew,8,4,4
"3 PARKWAY CLOSE, KGN 8",7000,70000000,St. Andrew,8,5,5
PLEASANT VALLEY DRIVE,3200,60000000,St. Andrew,21,5,3
2 WIDCOMBE HEIGHTS,3450,75649548,St. Andrew,6,3,4
LADY KAY DRIVE,5900,9637752453,St. Andrew,8,5,5
30 UPPER CARMEL AVENUE,4000,75649548,St. Andrew,8,4,4
3 GARDEN CLOSE,9000,74000000,St. Andrew,8,4,6
15 CHERRY DRIVE,10000,70000000,St. Andrew,8,5,6
RUSSELL HEIGHTS,48364,50000000,St. Andrew,8,5,6
GAINSBOROUGH,35867,80300000,St. Andrew,6,4,2
3 NORBROOK TERRACE,3000,95000000,St. Andrew,8,4,2
LINNEMANN AVENUE,7400,75649548,St. Andrew,6,5,5
8 CHERRY DRIVE,2700,82000000,St. Andrew,8,3,4
11 UPPER CARMEL AVENUE,3600,83496000,St. Andrew,8,3,3
FARRINGDON DRIVE,3000,62500000,St. Andrew,6,3,3
1A BRACKNELL AVENUE,4400,75000000,St. Andrew,6,3,3
6 CHERRY GARDEN AVENUE,3515,70000000,St. Andrew,8,3,3
5 CHESTER AVENUE,21000,88000000,St. Andrew,6,5,4
6 LANARK DRIVE,5000,85500000,St. Andrew,8,5,5
GREAT HOUSE CLOSE,5400,78000000,St. Andrew,8,4,5
21 MAIN ROAD,5000,8775347602,St. Andrew,21,3,3
48 PADDINGTON TERRACE,6000,90000000,St. Andrew,6,6,7
40 SUNSET AVENUE,4800,90000000,St. Andrew,8,3,2
14B BENSON AVENUE,6000,66179889,St. Andrew,8,5,6
"ROSEMARIE DRIVE, NORBROO...",4802,83214503,St. Andrew,8,5,5
4 MONTCLAIR TERRACE,5260,83214503,St. Andrew,6,5,6
8 BENSON TERRACE,3500,89569065,St. Andrew,8,5,3
47 GRAHAM HEIGHTS,3000,92292449,St. Andrew,8,4,4
GROSVENOR HEIGHTS,3000,90000000,St. Andrew,8,4,3
4B WILMINGTON DRIVE,5000,90779458,St. Andrew,6,3,4
7 MULBERRY CLOSE,5250,91993785,St. Andrew,6,5,5
SWAIN SPRING ROAD,4500,90000000,St. Andrew,21,7,6
"RAVINIA , 6",2600,100613899,St. Andrew,6,4,4
6 GAINSBOROUGH AVENUE,4769,107000000,St. Andrew,6,3,3
29 TEMPLE MEADE,4000,83214503,St. Andrew,6,6,4
10 DILLSBURY AVENUE,4375,8321450312,St. Andrew,6,4,4
GAINSBOROUGH AVENUE,3500,80339820,St. Andrew,6,4,3
DEWSBURY AVENUE,5000,90779458,St. Andrew,6,6,4
5 BLYTHWOOD DRIVE,5500,98344413,St. Andrew,6,4,5
1 MONTCLAIR TERRACE,5200,102883386,St. Andrew,6,3,4
TEMPLE MEADS,4000,80349201,St. Andrew,6,6,5
DEWSBURY AVENUE,42200,105909368,St. Andrew,6,4,3
6 LONG LANE GLEN EAGLES,5000,105909368,St. Andrew,8,3,4
12 GAINSBOROUGH AVENUE,5500,101316381,St. Andrew,6,5,6
11 CARMEL TERRACE,5000,113474322,St. Andrew,8,4,5
2-3 LANARK DRIVE,6025,98068443,St. Andrew,8,5,6
"DUSTY ROAD, 21",5347,91900130,St. Andrew,21,4,5
4-15 CARMEL AVENUE,4800,114987313,St. Andrew,8,5,6
4 RIDGEWAY,4500,113474322,St. Andrew,6,4,5
31 BENSON AVENUE,4500,121039277,St. Andrew,8,4,4
"10 B LADY KAY DRIVE, NORB...",4000,129536840,St. Andrew,8,4,5
39 DEWSBURY AVENUE,8400,124065259,St. Andrew,6,5,5
36 EARLS COURT,4437,140000000,St. Andrew,8,5,4
MANOR PARK DRIVE,4000,102126890,St. Andrew,8,4,4
4a SHARROW DRIVE,5000,128604232,St. Andrew,8,4,4
"RIDGE WAY, 6",5600,121039277,St. Andrew,6,5,4
38 SHENSTONE DRIVE,,100000000,St. Andrew,6,5,3
5 LOWER MONTGOMERY,5000,140708160,St. Andrew,9,4,5
30 30 SUNSET AVENUE,6000,121039277,St. Andrew,8,7,7
4 PLYMOUTH WAY,6000,121039277,St. Andrew,6,4,5
BEVERLY HILLS,6000,133062109,St. Andrew,6,4,4
23 TEMPLE MEADE,6011,137682178,St. Andrew,6,5,4
BRACKNELL AVENUE,4800,116500304,St. Andrew,6,5,5
7 WATERLOO AVENUE,22000,196688826,St. Andrew,10,4,3
3 HYPERION AVENUE,6000,166429006,St. Andrew,6,3,4
1A HYPERION AVENUE,10000,226948645,St. Andrew,6,6,6
1C NORBROOK ROAD,7310,219383690,St. Andrew,8,4,5
OAKRIDGE,12000,186354795,St. Andrew,8,7,7
32 EARLS COURT,5500,202362542,St. Andrew,8,4,4
3 WILMINGTON DRIVE,7414,226948645,St. Andrew,6,4,5
10 COOKHAM DENE,6000,272338374,St. Andrew,6,4,8
1 MONTROSE ROAD,7000,680845935,St. Andrew,10,4,4
