Address,SQFT,Price,Parish,Region,BR,BTH
11 ARNOLD RD,3800,8000000,Kingston,4,10,3
24 HERRICK AVE DUHANEY P...,2401,10800000,St. Andrew,20,4,3
THIRD AVENUE,1868,11000000,St. Andrew,3,4,2
WRIGHTS CRESCENT,1700,11500000,St. Andrew,20,3,2
39 STARS WAY,1500,10600000,St. Andrew,19,3,1
BRONZE WING PLACE,1200,11300000,St. Andrew,20,3,1
DEANERY ROAD,2215,11000000,St. Andrew,3,4,2
MORANT AVENUE,2000,10500000,St. Andrew,20,5,3
6 SHORTON DRIVE,1700,11000000,St. Andrew,20,3,2
32 CHIPPENHAM AVENUE,1483,11300000,St. Andrew,20,4,2
20 CLARKE AVENUE,2775,115000000,St. Andrew,20,5,2
1 SOUTHERN CROSS,2000,11500000,St. Andrew,17,4,2
8 LYNDALE CRESCENT,1900,14000000,St. Andrew,20,3,1
4 EDGEWARE ROAD,1800,12000000,St. Andrew,20,4,3
Lot #47 SEASHORE DRIVE,4500,11000000,St. Andrew,17,5,3
25 CASSIA PARK ROAD,2300,11800000,St. Andrew,10,5,3
SHEILA PLACE,3530,10800000,St. Andrew,20,3,2
42 KENHILL DRIVE,1430,10700000,St. Andrew,19,4,3
34 MAYNARD AVENUE,2268,11400000,St. Andrew,20,5,3
MANNINGS HILL ROAD,1930,12000000,St. Andrew,8,2,2
22 LASQUINET AVENUE,1300,12000000,St. Andrew,20,3,3
SILVER ROAD,1200,11000000,St. Andrew,20,3,2
THREE OAKS-CHAMPLAIN AVE,4566,12200000,St. Andrew,20,5,3
MARATHON DRIVE,2500,8300000,St. Andrew,20,4,2
AIRY CASTLE ROAD,2242,10500000,St. Andrew,9,3,3
KILLARNEY AVENUE,10890,9000000,St. Andrew,20,3,3
15 CASSIA PARK AVE,1751,9000000,St. Andrew,10,3,2
11 PRESTON AVENUE,9758,7800000,St. Andrew,3,6,3
77 HARWOOD DRIVE,2600,9000000,St. Andrew,20,4,3
JUPITER RD,1100,10000000,St. Andrew,17,3,2
7 LINDO AVE 7,1800,1200000,St. Andrew,7,4,2
LOT 205 PEGASUS PLACE,1663,12000000,St. Andrew,19,3,2
SHERNESS CRESENT,1200,10000000,St. Andrew,20,4,2
ROCKY ROAD,750,13500000,St. Andrew,19,2,1
MOUNT RECOVERY,2230,12000000,St. Andrew,21,5,3
"POTOSI AVE,PREMBROKE HAL...",1258,13000000,St. Andrew,20,4,2
161 KEN HILL DRIVE,2100,7500000,St. Andrew,20,5,2
SWIFT AVENUE,2000,11500000,St. Andrew,20,5,3
ABERNETHY DRIVE,2624,13500000,St. Andrew,20,4,2
BROOKS LEVEL ROAD,6316,12400000,St. Andrew,9,3,2
SWANSEA AVENUE,1800,12500000,St. Andrew,8,4,2
LINDALE AVENUE,3000,11700000,St. Andrew,20,4,4
66 WEYMOUTH DRIVE,1600,12000000,St. Andrew,20,3,2
52 RENFIELD DRIVE,1712,11900000,St. Andrew,20,3,2
INNSWOOD DRIVE,850,12000000,St. Andrew,9,2,1
CAIRNCURRAN AVENUE,3500,11500000,St. Andrew,20,6,3
MERRIVALE TERRACE,1605,12000000,St. Andrew,8,4,2
60 ORION AVENUE,1350,12500000,St. Andrew,17,3,2
41 WARMINISTER AVENUE,1700,12200000,St. Andrew,19,4,2
WALCOTT CRESCENT,1200,12500000,St. Andrew,20,4,2
24 MIDLAND DRIVE,1900,12500000,St. Andrew,20,4,2
2 LONGFELLOW WAY,1500,12500000,St. Andrew,20,5,2
42 WICKIE WACKIE DRIVE,1728,10500000,St. Andrew,17,5,3
4 POWELL CLOSE,3000,10500000,St. Andrew,20,2,1
BAY VIEW TERRACE,2500,12000000,St. Andrew,17,6,4
21 MIDLAND DRIVE,1800,12700000,St. Andrew,19,4,3
3 1/2 KING EDWARD AVENUE,6590,13000000,St. Andrew,3,4,2
CAENWOOD CRESCENT,3000,12100000,St. Andrew,20,4,3
QUEENSBURY DRIVE,1800,9000000,St. Andrew,19,3,2
GOLD ROAD,2600,11800000,St. Andrew,20,3,2
37 GOLDING CIRCLE,1838,12000000,St. Andrew,7,4,4
18 LINDALE AVENUE,2138,13000000,St. Andrew,20,5,2
"KING EDWARD, VINEYARD TW...",2000,12500000,St. Andrew,3,5,2
BROOKS LEVEL ROAD,2800,10500000,St. Andrew,9,7,4
8 PARAISO AVENUE,2000,11500000,St. Andrew,10,5,3
35 VENUS AVENUE,1500,11250000,St. Andrew,17,3,2
125 HARBOUR DRIVE,4344,11000000,St. Andrew,17,5,3
NORCROSS AVENUE,1000,13100000,St. Andrew,19,3,2
"MARS DRIVE, HARBOUR VIEW",1400,11700000,St. Andrew,17,4,3
66C DEANERY ROAD,2400,12500000,St. Andrew,3,4,2
38 ROEHAMPTON DRIVE,2340,13000000,St. Andrew,19,5,3
37 GILMOUR DRIVE,1200,12800000,St. Andrew,20,4,2
COOPERS HILL RISE,1700,11000000,St. Andrew,12,3,4
22 ANNANDALE AVENUE,1600,15300000,St. Andrew,20,3,2
16 FRIENDSHIP PARK AVENUE...,2500,13700000,St. Andrew,3,5,2
16 ROBINSON ROAD,1360,13100000,St. Andrew,10,3,2
21 MORETON PARK TERRACE,3734,13250000,St. Andrew,10,7,4
25 EMERALD DRIVE,950,13800000,St. Andrew,19,3,2
SEAVIEW ROAD,2000,13500000,St. Andrew,9,3,2
SUNRISE DRIVE,1500,13500000,St. Andrew,19,3,2
23 GREENDALE DRIVE,1300,11000000,St. Andrew,19,4,2
FORT NUGENT DRIVE,2000,12800000,St. Andrew,17,4,3
SHARRON AVE,,12500000,St. Andrew,20,4,3
5 GLEN AVENUE,6171,12500000,St. Andrew,8,7,3
EASTWOOD PARK GARDENS,1380,12800000,St. Andrew,10,3,2
11 GOODWOOD TERRACE,3198,14200000,St. Andrew,10,4,4
RIVERSIDE DR HARBOUR VIE...,2200,13500000,St. Andrew,17,4,2
"6 CANE RIVER PEN, 8 MILES",12779,15000000,St. Andrew,17,5,5
1 FREDGAR CLOSE,1500,10000000,St. Andrew,17,2,2
WHITEHALL TERRACE,1138,13500000,St. Andrew,8,4,2
"HARBOUR DR, HARBOUR VIEW",1300,10900000,St. Andrew,17,3,2
MARS DR. HARBOUR VIEW K1...,1600,12000000,St. Andrew,17,3,2
176 BELVEDERE ROAD,,14100000,St. Andrew,19,5,5
20 GILMOUR DRIVE,1200,12000000,St. Andrew,10,4,2
HAYLETTE AVENUE,2300,14000000,St. Andrew,19,4,3
181 BELVEDERE ROAD,3500,12000000,St. Andrew,19,5,4
39 MARTELLO DRIVE,3600,11000000,St. Andrew,17,5,3
10 MAYFIELD MEWS,1700,12600000,St. Andrew,20,3,3
"16 ROSEND AVENUE, W/GDNS",1700,13000000,St. Andrew,20,5,2
55 STARS WAY,1384,13000000,St. Andrew,20,3,2
6A SHELTEL CLOSE,1011,12500000,St. Andrew,9,2,2
CALCRAFT AVENUE,3310,14000000,St. Andrew,8,2,1
9 DUHANEY TERRACE,8000,11500000,St. Andrew,20,3,2
"GOLDEN ACRES, 21",550,14000000,St. Andrew,21,1,1
78 PLATEAU RISE,4200,13000000,St. Andrew,21,5,6
4 EMBERS WAY,2000,13750000,St. Andrew,19,3,3
HUGH MILLER AVENUE,2172,14000000,St. Andrew,20,3,2
WINSOME AVENUE,1500,14000000,St. Andrew,19,4,3
60 WEYMOUTH DRIVE,2500,11400000,St. Andrew,20,5,2
13B COPABAN DRIVE,2090,13800000,St. Andrew,17,3,2
28 RUDOLPH BURKE AVENUE,2387,14000000,St. Andrew,20,5,3
10 CAWLEY ROAD,3500,14100000,Kingston,2,4,2
HARBOUR VIEW,2000,13700000,St. Andrew,17,3,3
MANNINGS HILL RD.,800,13600000,St. Andrew,9,3,2
MARYLAND,1500,15000000,St. Andrew,21,3,2
LOWER TUNBRIGE DRIVE,3598,14600000,St. Andrew,19,3,2
RENFIELD DRIVE,1800,14000000,St. Andrew,20,6,3
1 KINGSLYN AVENUE,1800,13500000,St. Andrew,10,4,2
4 RUDOLPH BURKE AVENUE,2500,14500000,St. Andrew,20,4,3
CHARLTON AVENUE,2500,13200000,St. Andrew,8,4,2
58 7/8 DEANERY ROAD,5109,1380000,St. Andrew,3,3,2
MAPLE LEAF AVENUE,2000,14500000,St. Andrew,10,4,3
24 QUEENSBURY DRIVE,3262,15000000,St. Andrew,19,3,2
15 TORONTO AVENUE,,9000000,St. Andrew,10,4,3
62 LADY HAMILTON DRIVE,3000,13000000,St. Andrew,19,5,3
